750_0001,,1000_0001,,1250_0001,,750_0001b,,1000_0001b,,1250_0001b,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.6604651594838224e-8,9923624578022314000,1.2586271644795218e-8,11569011984053443000,1.0805438921903982e-8,10833281245360916000,7.661103883640333e-9,6337104667630350000,7.976572929254245e-9,5556695809090499000,8.234895707032333e-9,4882607073406366000
1.676346269111198e-8,9948248345150648000,1.2806736346483638e-8,11137746825368302000,1.0803251834755421e-8,10558364390786888000,7.876744217760532e-9,6052057271069069000,8.044212778842454e-9,5043775790915215000,8.314864616255342e-9,4634292648334336000
1.694625709784634e-8,10139298375107985000,1.2908388947372108e-8,11708582205324886000,1.0886014558819795e-8,10280604322919733000,7.889945975100455e-9,5868644796582840000,7.994139695499056e-9,4504329654675175400,8.505992065336397e-9,4436120027749034000
1.7115902423254014e-8,10101646813335982000,1.290636917836606e-8,11454697241264718000,1.1117636648889042e-8,10912742423934632000,8.032191044873804e-9,5707105258568276000,8.188600158041104e-9,4748381909296628000,8.511391882386838e-9,4320138502738323500
1.7286477293897877e-8,10180839087752088000,1.3153420391434166e-8,11178000241167315000,1.1256809489572017e-8,10605044359853578000,7.920213685751269e-9,5530795844027269000,8.232217748982926e-9,5332504025706635000,8.588044540330383e-9,5367396182782202000
1.7456522892866445e-8,10193501912583535000,1.326767904849859e-8,11604106537613509000,1.1508712928772996e-8,10938272184658115000,8.118957284774129e-9,5371756265658233000,8.287137839471572e-9,5600181697177432000,8.588412776191325e-9,5094549160953700000
1.7626128854878917e-8,10150902372034177000,1.3443007760500198e-8,11263615291387933000,1.1783539617459115e-8,10750845190050976000,8.25638642015371e-9,6019293705796776000,8.34714644935365e-9,5012988110551593000,8.574130333261157e-9,4856707108343134000
1.7796319576726193e-8,10181807142719484000,1.358919451796083e-8,11837566566258420000,1.1847301678083481e-8,11079912455744758000,8.342745179403001e-9,5752401462260591000,8.485501495713054e-9,4555547218723289000,8.71644125446195e-9,4684104530517910000
1.7966442005454077e-8,10204127468297091000,1.3587043284699953e-8,11567156545365934000,1.2083558309967539e-8,10565302118053224000,8.443349398356543e-9,5465835206801371000,8.517841331280789e-9,4819006567481864000,8.830304359006755e-9,4543608714117220400
1.814647860323517e-8,10048520912828985000,1.3825792828857846e-8,11315043211530820000,1.2195763051466216e-8,11140127779609539000,8.566723045422561e-9,6101131465227338000,8.587865743727383e-9,5397434012086307000,8.914108424956541e-9,5384065864438284000
1.8291730669762778e-8,10148947054659557000,1.3928013756549268e-8,11703006925790441000,1.2148167015569269e-8,10853857791501224000,8.709496922113267e-9,5850752365096851000,8.600766770046272e-9,5128912165225628000,8.911305605758993e-9,5176778570086074000
1.847677941339799e-8,10267332750295296000,1.3953828555679815e-8,11387582348914063000,1.2462187315178128e-8,10608584931262108000,8.635112746070291e-9,5688290108898943000,8.767198736536988e-9,5651100415474819000,8.912439048510158e-9,4986360187890430000
1.86465048883694e-8,10239755988684410000,1.4289379114841303e-8,11554218669996132000,1.2507901021971805e-8,11212077568714020000,8.78381172739631e-9,5449459643898630000,8.789753563114488e-9,4574533228615794700,8.979573980140404e-9,5575507765963348000
1.881565556291925e-8,10139926814083731000,1.42701076502126e-8,11268002462719336000,1.2505690032231458e-8,10934156158352300000,8.819643611552844e-9,6334614286374271000,8.661485245012882e-9,4422461244398383000,9.054694095772514e-9,4823144431722738000
1.8999239917114147e-8,10074238757071593000,1.4599772196146404e-8,11881548530277090000,1.2786082373019216e-8,10576025119511513000,8.917720846119206e-9,6133500948190980000,8.869240512106618e-9,4907246174113372000,9.176953114780923e-9,4628456824516669000
1.916913256795074e-8,10067676001713926000,1.463553047346057e-8,11629237551886133000,1.286197310194467e-8,11214627676475355000,9.032100499523445e-9,5906224923405355000,8.919835693693814e-9,5326099275963435000,9.255169148327644e-9,5322645947288336000
1.931267410525355e-8,9953088619987626000,1.4605383329568531e-8,11400086392242921000,1.2760909956042961e-8,10972197133182175000,9.042551890750883e-9,5676253266161226000,8.92580090178797e-9,5115132055608652000,9.251108549761642e-9,5055401219020519000
1.9494210306114646e-8,9985982171676054000,1.4949284259171e-8,11904295312238748000,1.2982128443036682e-8,10296602327603137000,9.244202530970744e-9,6215612375891440000,9.073161686739072e-9,5789554666582061000,9.311794032497936e-9,4354492992886296600
