t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
2121.504185344,3994600269455.6006,301436290148267.25,4585615318294297.0,4891046208712017.0
2136.504185344,3084627746195.026,225060636702043.66,3352537316360828.0,3580682580809068.0
2151.504185344,2740356573275.8037,193389382212705.06,2821466286021003.5,3017596024806982.0
2166.504185344,2628162318337.345,179456118338894.28,2564858260067071.5,2746942540724304.5
2181.504185344,2606147511646.928,172240393613915.72,2412104970124957.5,2586951511250518.5
2196.504185344,2617392355327.334,167487285417913.84,2298745638372106.5,2468850316145349.5
2211.504185344,2640360573926.236,163643229816953.47,2201635218500578.8,2367918808891456.0
2226.504185344,2667360200389.195,160169868539131.66,2112785276904976.5,2275622505644498.0
2241.504185344,2695790708121.2407,156888115982334.25,2029454984937059.5,2189038891627514.8
2256.504185344,2724812567358.27,153738792654738.8,1950625728594571.5,2107089333816667.5
2271.504185344,2754159937372.3286,150700634794458.9,1875822049517730.2,2029276844249563.0
2286.504185344,2783743792871.301,147763904956410.22,1804740107904623.5,1955287756653901.8
2301.504185344,2813527385692.921,144922388768946.72,1737136619866559.5,1884872536021201.2
2316.504185344,2843489448383.676,142171088814551.78,1672796672916254.8,1817811251179190.0
