t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
182.28642025096838,-2.3823426924611985e+19,-2.3823426924611985e+19,423995508549832.7,1.5710161527273648e+19,2.5612417515659474e+18,6.90206247396437e+19
188.245508519832,-2.3826386975992844e+19,-2.3826386975992844e+19,430939250370990.2,1.596513533865831e+19,2.6430651652474286e+18,7.018026919303009e+19
194.80050561558195,-2.382942348187063e+19,-2.382942348187063e+19,438301602359022.75,1.6241602191096426e+19,2.732908784751282e+18,7.143597363562138e+19
200.75959388444556,-2.3832169822707253e+19,-2.3832169822707253e+19,445181547477106.2,1.6488279689536676e+19,2.8144510632257e+18,7.2561157305176056e+19
207.31459098019553,-2.383498262781038e+19,-2.383498262781038e+19,452442563799880.7,1.6755676529501161e+19,2.9039860636499405e+18,7.378042124538641e+19
213.27367924905914,-2.3837505301409223e+19,-2.3837505301409223e+19,459160089109304.1,1.6994647390399136e+19,2.985248296535803e+18,7.48738100386186e+19
219.8286763448091,-2.384008331315418e+19,-2.384008331315418e+19,466222729806235.3,1.7254099118074636e+19,3.074475873105711e+18,7.605963868512631e+19
227.03917315013408,-2.384273576640756e+19,-2.384273576640756e+19,473717945176077.6,1.753575240047685e+19,3.172431980376728e+18,7.734492448935346e+19
233.59417024588404,-2.3845140616454975e+19,-2.3845140616454975e+19,480727157388406.8,1.778719599368046e+19,3.2613228029777193e+18,7.84976021812057e+19
240.804667051209,-2.384761117221596e+19,-2.384761117221596e+19,488132645963193.06,1.806003794260037e+19,3.35890930906939e+18,7.974773350824654e+19
247.35966414695898,-2.384983177741923e+19,-2.384983177741923e+19,494988212273807.44,1.8304009639564909e+19,3.4474648117283436e+18,8.08696603091268e+19
254.57016095228394,-2.3852107317999526e+19,-2.3852107317999526e+19,502202899927090.9,1.856915142149811e+19,3.5446832896531297e+18,8.208737181283921e+19
262.5017074381414,-2.38544542284175e+19,-2.38544542284175e+19,509864922474138.0,1.8857271756512965e+19,3.6513911737158006e+18,8.340823959714285e+19
269.7122042434664,-2.3856586425220215e+19,-2.3856586425220215e+19,517034985714160.1,1.911457948487911e+19,3.748206676370032e+18,8.45936540975746e+19
277.64375072932387,-2.3858782338633466e+19,-2.3858782338633466e+19,524616823388685.6,1.939403196351619e+19,3.854472376231308e+18,8.58801928195169e+19
284.85424753464883,-2.3860759677843775e+19,-2.3860759677843775e+19,531639517149897.2,1.9644012808954032e+19,3.95088678916218e+18,8.70355156818279e+19
292.78579402050633,-2.386279051366368e+19,-2.386279051366368e+19,539035603136678.3,1.9915921640910074e+19,4.0567123729208883e+18,8.829026292283721e+19
299.9962908258313,-2.386461825073611e+19,-2.386461825073611e+19,545874283580814.7,2.0159407246549783e+19,4.152727572686264e+18,8.941776314485886e+19
307.9278373116888,-2.3866500155016622e+19,-2.3866500155016622e+19,553084563208143.4,2.0424448251539485e+19,4.2581150997986145e+18,9.064308673961012e+19
316.652538446132,-2.386844921624714e+19,-2.386844921624714e+19,560751964858795.9,2.071292700471821e+19,4.3737648059566326e+18,9.19739374292342e+19
324.5840849319895,-2.3870224566928814e+19,-2.3870224566928814e+19,567928706722570.9,2.097079241473033e+19,4.4786728953270646e+18,9.316972018052548e+19
333.30878606643273,-2.3872061835185304e+19,-2.3872061835185304e+19,575533400362182.1,2.1251235547996017e+19,4.593796642362061e+18,9.44690513039584e+19
341.2403325522902,-2.3873720709543285e+19,-2.3873720709543285e+19,582580750768221.6,2.1502318781274153e+19,4.698227758221075e+18,9.56371037417924e+19
349.9650336867335,-2.3875432053840843e+19,-2.3875432053840843e+19,590016902790345.1,2.1775787220515086e+19,4.812828248453161e+18,9.690703016973507e+19
359.56220493462104,-2.3877207002770653e+19,-2.3877207002770653e+19,597927591310874.2,2.207363262227084e+19,4.938558548434843e+18,9.82869144057372e+19
368.28690606906423,-2.3878825944822985e+19,-2.3878825944822985e+19,605336794948443.1,2.23398560367671e+19,5.052586636571567e+18,9.952722955111642e+19
377.8840773169518,-2.38805036405505e+19,-2.38805036405505e+19,613190422700951.8,2.2629569014399545e+19,5.177689159902451e+18,1.008754747332391e+20
386.608778451395,-2.388202008768882e+19,-2.388202008768882e+19,620471443060106.6,2.288896971269108e+19,5.291148078252212e+18,1.0208792134016202e+20
396.20594969928254,-2.38835864714892e+19,-2.38835864714892e+19,628156334826436.6,2.317168056763018e+19,5.415626368797434e+18,1.0340657941010563e+20
404.93065083372574,-6.860844940509006e+16,-6.860844940509006e+16,77551075324735.02,2.3292107820103995e+19,5.455512598149311e+18,1.028067868302407e+20
412.86219731958323,-4.749850952740248e+16,-4.749850952740248e+16,52847712428864.64,2.3374782658297696e+19,5.473119195231351e+18,1.0242912180020239e+20
421.5868984540265,-3.725764490396627e+16,-3.725764490396627e+16,41498194466378.805,2.3449054982200127e+19,5.484440537762758e+18,1.0210320713004484e+20
431.18406970191404,-3.0815547559768944e+16,-3.0815547559768944e+16,34669984189439.87,2.3518623018221056e+19,5.492401021195551e+18,1.0180669401237561e+20
431.68406970191404,-3.053075033722202e+16,-3.053075033722202e+16,34376800030910.46,2.352221513398807e+19,5.492805827133576e+18,1.0179138891572439e+20
432.18406970191404,-3.0252613226347148e+16,-3.0252613226347148e+16,34090933125584.598,2.3525775862609437e+19,5.493201069880748e+18,1.0177622333077068e+20
432.68406970191404,-2.9980877571816184e+16,-2.9980877571816184e+16,33812081259059.035,2.3529306060988686e+19,5.493587093153415e+18,1.0176119405178547e+20
433.18406970191404,-2.971529943709117e+16,-2.971529943709117e+16,33539961887802.945,2.3532806546230223e+19,5.493964223933523e+18,1.0174629799506523e+20
433.68406970191404,-2.9455648022732236e+16,-2.9455648022732236e+16,33274308147186.004,2.3536278098578825e+19,5.494332773502694e+18,1.0173153219236166e+20
434.18406970191404,-2.9201704755497496e+16,-2.9201704755497496e+16,33014867750307.633,2.3539721463980675e+19,5.494693038398752e+18,1.0171689378476866e+20
434.68406970191404,-2.895326245425288e+16,-2.895326245425288e+16,32761401980048.734,2.354313735634653e+19,5.495045301301305e+18,1.0170238001702519e+20
435.18406970191404,-2.8710124565091804e+16,-2.8710124565091804e+16,32513684765032.105,2.3546526459574297e+19,5.49538983185289e+18,1.016879882322016e+20
435.68406970191404,-2.8472104458933612e+16,-2.8472104458933612e+16,32271501831349.035,2.354988942937369e+19,5.495726887420866e+18,1.0167371586673646e+20
436.18406970191404,-2.823902478561817e+16,-2.823902478561817e+16,32034649922812.33,2.355322689492515e+19,5.496056713805363e+18,1.0165956044579602e+20
436.68406970191404,-2.8010716879167364e+16,-2.8010716879167364e+16,31802936083283.504,2.35565394603968e+19,5.496379545897603e+18,1.0164551957893218e+20
437.18406970191404,-2.7787020209459924e+16,-2.7787020209459924e+16,31576176995314.95,2.355982770633879e+19,5.496695608292804e+18,1.0163159095601376e+20
437.68406970191404,-2.756778187606995e+16,-2.756778187606995e+16,31354198369956.383,2.3563092190970434e+19,5.497005115861263e+18,1.0161777234341074e+20
438.18406970191404,-2.7352856140464868e+16,-2.7352856140464868e+16,31136834383111.637,2.3566333451371508e+19,5.497308274281051e+18,1.0160406158041326e+20
